ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_2	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
mic_asv3916	0	0	0	0	0	4.78E-05	7.16E-05	0	4.88E-05	0	0.000134436	6.35E-05	0	0	4.78E-05	0	0	0	0	0	0	0	0	0	0	0	1.28E-05	6.54E-05	7.84E-05	4.63E-05	3.72E-05	3.35E-05	0.000146954	0	0.000105182	6.99E-05	2.45E-05	2.38E-05	1.14E-05	1.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3917	0	0	0	0	0	0	0	0	0	0.000147244	2.69E-05	0	0	0	0	0	0	2.95E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.72E-05	0	0	2.05E-05	1.75E-05	0	0	1.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158655	0	0.000255956	7.01E-06	0	1.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51E-05	0.000148315	0	6.80E-05	8.77E-05	5.72E-05	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3922	3.11E-05	6.78E-05	5.13E-05	0	6.66E-05	1.59E-05	0	0	0	0	0	0	0	0	0	0	1.13E-05	7.37E-06	2.32E-05	1.51E-05	0	0	1.44E-05	0	6.91E-05	4.79E-05	1.28E-05	3.93E-05	0	0	0	0	0	0	0	0	0	1.19E-05	0	0	0	0	0	1.79E-05	0	0	1.89E-05	0	3.66E-05	0	4.99E-05	0	0.000127873	0	1.83E-05	0	0	0	0	2.67E-05	0	0	0	0	0	0	2.94E-06	1.22E-05	5.53E-06	0	0	0	0	4.76E-06	1.25E-05	8.96E-06	3.22E-05	6.09E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3923	0	0	0	0	0	0	0	0	0	0	0	7.06E-06	0	0	0	2.52E-05	0.000135271	7.37E-06	2.32E-05	0	0	0	0	0	1.73E-05	0	0	0	5.88E-05	0	1.86E-05	1.68E-05	4.90E-05	0.000123102	0	0	1.22E-05	4.76E-05	1.14E-05	8.51E-06	7.49E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3927	0	0	0	0	0	0	0	0	0.000195398	6.31E-05	6.72E-05	5.64E-05	5.38E-05	7.08E-05	1.36E-05	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32E-05	1.86E-05	0	0.000146954	0	1.75E-05	5.24E-05	3.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.39E-05	0	0	0	0	0	0	0	0	0	0	5.88E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35E-06	2.09E-05	0	0	5.12E-05	3.02E-05	5.09E-05	5.04E-06	0	0	0	0	0	0	0	0
mic_asv3928	0	0	0	0	0	0	0	7.24E-05	0	0	4.03E-05	3.53E-05	0.000100816	0	7.50E-05	1.26E-05	0	1.47E-05	1.16E-05	0	0	0	0	0	0	0	0	0	0	0	3.72E-05	0	0	0	0.000140243	0	1.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3930	0	0	0	0	0	0	0	0	0	0	2.69E-05	1.41E-05	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	1.31E-05	7.84E-05	2.32E-05	1.86E-05	0.000100595	2.45E-05	2.05E-05	1.75E-05	1.75E-05	3.67E-05	2.38E-05	2.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000370194	2.67E-05	0	0	0.000198371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3936	0	0	0	0	0	0	0	0	0.000244248	6.31E-05	6.72E-05	5.64E-05	2.02E-05	0	0.0001569	5.05E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90E-05	0	3.51E-05	1.75E-05	2.45E-05	1.19E-05	2.28E-05	0	0	0	0	0	0	0	0	0	0	0.000104914	0	0	0	0	0	0	8.27E-05	0	0	0	0	0	1.57E-05	4.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3937	1.24E-05	0	0	0	1.66E-05	0	8.96E-06	7.24E-06	0	0	5.38E-05	0	0	0	1.36E-05	1.26E-05	2.25E-05	2.21E-05	0.000104211	0	2.19E-05	1.15E-05	0	1.51E-05	0	0	1.28E-05	0	0	0	0	0	0	0	5.26E-05	0	0	1.19E-05	0	1.70E-05	0	0	3.97E-05	2.69E-05	0	0	9.45E-06	0	0	8.74E-06	0	0.000123888	9.13E-06	1.22E-05	0	0	0	0	0	0	0	0	5.22E-06	0	3.64E-05	1.13E-05	6.47E-06	1.22E-05	8.29E-06	1.94E-05	0	0	0	9.52E-06	0	4.48E-06	0	0	0	0	0	0	0	1.46E-05	0	1.02E-05	0	5.09E-06	0	0	4.52E-06	7.59E-06	9.18E-06	5.78E-06	6.14E-06	2.97E-05	0
mic_asv3938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85E-05	5.88E-05	2.32E-05	0	3.35E-05	2.45E-05	0	5.26E-05	0.000139782	6.12E-05	8.32E-05	0	8.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-05	4.15E-06	1.79E-05	7.72E-05	2.44E-05	4.35E-05	3.67E-05	1.48E-05	1.07E-05	9.41E-05	4.87E-06	0	6.15E-05	3.02E-05	0.000122045	2.52E-05	4.11E-06	1.36E-05	2.53E-06	9.18E-06	0	0	0	0
mic_asv3943	0	5.65E-06	0	0	0	0	8.96E-06	0	0	0	0	0	0	0	6.82E-06	2.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-05	0	0	0	0	1.83E-05	0	3.65E-05	0	0	0	0	0	9.14E-05	0	0.000313218	4.70E-05	0	1.13E-05	7.65E-06	0	1.11E-05	1.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3944	0	3.39E-05	1.46E-05	1.52E-05	1.66E-05	6.38E-05	3.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.57E-06	0	1.15E-05	2.87E-05	0	1.73E-05	0.000223571	3.84E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3948	6.22E-06	1.69E-05	2.20E-05	3.03E-05	4.99E-05	7.97E-05	4.48E-05	3.62E-05	0	8.41E-05	1.34E-05	0	0	7.08E-05	0	0	2.25E-05	2.95E-05	5.79E-05	1.51E-05	2.19E-05	1.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3954	0	0	0	0	0	0	8.96E-06	1.45E-05	4.88E-05	8.41E-05	0	1.41E-05	0	0	2.05E-05	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000451375	0	1.75E-05	0	1.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.13E-06	0	0	0	0	0	0	0	0	0	0	3.51E-06	0	4.70E-05	0.000109202	1.13E-05	1.41E-05	0	1.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09E-06	0	0	0	0	0	0	0	0	0
